Curriculum ID,Curriculum Title,Domain ID,Domain Description,Active,Date Created,Curriculum Description,Force Incomplete,Item Type,Item ID,Item Revision Date,Revision Number,Item Title,Assignment Type,Initial Period (Item),Initial Number (Item),Initial Basis (Item),Retraining Period (Item),Retraining Number (Item),Retraining Basis (Item),Effective Date,Job Code ID,Job Description,Requirement (Requirements),Initial Period (Requirement),Initial Number (Requirement),Initial Basis (Requirement),Retraining Period (Requirement),Retraining Number (Requirement),Retraining Basis (Requirement),Requirement (Requirement Group),Initial Period (Requirement Group),Initial Number (Requirement Group),Initial Basis (Requirement Group),Retraining Period (Requirement Group),Retraining Number (Requirement Group),Retraining Basis (Requirement Group),Requirement (Group Requirements),Description,Document ID,Document Title,Review Flag,Sub-Curriculum ID,Sub-Curriculum Title,Sub-Curriculum Parent ID,Sub-Curriculum Level
PGM-RMT-QACQ_GEN_ANALYST,PGM-RMT-QACQ_GEN_ANALYST: CQ General Requirements for Analyst,PGM-ROCKY MOUNT,PGM Rocky Mount - US,Yes,4/11/2017,,No,SOP,PGM-RMT-QACQ_S6120_0112,4/5/2018 06:47 AM America/New York,2,Operation of Milli-Q Reagent Grade Water System,Required,Days,90,Event,Days,730,Event,4/25/2018,,, ,,,,,,, ,,,,,,, ,,,,,,,,1
PGM-RMT-QACQ_GEN_ANALYST,PGM-RMT-QACQ_GEN_ANALYST: CQ General Requirements for Analyst,PGM-ROCKY MOUNT,PGM Rocky Mount - US,Yes,4/11/2017,,No,SOP,PGM-RMT-QACQ_S6120_0211,4/16/2018 11:41 AM America/New York,2,Operational Instructions and Sample Preparation for the Labconco Freeze Drier System,Required,Days,90,Event,Days,730,Event,5/9/2018,,, ,,,,,,, ,,,,,,, ,,,,,,,,1
PGM-RMT-QACQ_GEN_ANALYST,PGM-RMT-QACQ_GEN_ANALYST: CQ General Requirements for Analyst,PGM-ROCKY MOUNT,PGM Rocky Mount - US,Yes,4/11/2017,,No,SOP,PGM-RMT-QACQ_S6120_0218,4/16/2018 11:44 AM America/New York,2,Operation of the VWR Clinical 200 Centrifuge,Required,Days,90,Event,Days,730,Event,5/9/2018,,, ,,,,,,, ,,,,,,, ,,,,,,,,1
PGM-RMT-QACQ_GEN_ANALYST,PGM-RMT-QACQ_GEN_ANALYST: CQ General Requirements for Analyst,PGM-ROCKY MOUNT,PGM Rocky Mount - US,Yes,4/11/2017,,No,SOP,PGM-RMT-QACQ_S6120_0222,4/20/2018 08:23 AM America/New York,2,Operation of Digital Circulating Water Baths,Required,Days,90,Event,Days,730,Event,5/9/2018,,, ,,,,,,, ,,,,,,, ,,,,,,,,1
PGM-RMT-QACQ_GEN_ANALYST,PGM-RMT-QACQ_GEN_ANALYST: CQ General Requirements for Analyst,PGM-ROCKY MOUNT,PGM Rocky Mount - US,Yes,4/11/2017,,No,SOP,PGM-RMT-QACQ_S6120_0308,6/5/2018 12:43 PM America/New York,2,CQ Light Inspection Station Use and Intensity Checks,Required,Days,90,Event,Days,730,Event,6/27/2018,,, ,,,,,,, ,,,,,,, ,,,,,,,,1
PGM-RMT-QACQ_GEN_ANALYST,PGM-RMT-QACQ_GEN_ANALYST: CQ General Requirements for Analyst,PGM-ROCKY MOUNT,PGM Rocky Mount - US,Yes,4/11/2017,,No,COURSE,PGM-RMT-EN-SOP-100636,8/13/2018 07:54 AM America/New York,1,Process Utility Monitoring Procedure,Required,Days,90,Event,Days,730,Event,9/5/2018,,, ,,,,,,, ,,,,,,, ,,,,,,,,1
PGM-RMT-QACQ_GEN_ANALYST,PGM-RMT-QACQ_GEN_ANALYST: CQ General Requirements for Analyst,PGM-ROCKY MOUNT,PGM Rocky Mount - US,Yes,4/11/2017,,No,COURSE,PGM-RMT-QACQ_SF_GHS_LABEL,11/6/2018 12:00 PM America/New York,1,CQ GHS Labeling,Required,Days,90,Event,,,,11/6/2018,,, ,,,,,,, ,,,,,,, ,,,,,,,,1
PGM-RMT-QACQ_GEN_REQ,PGM-RMT-QACQ_GEN_REQ: CQ Department Requirements,PGM-ROCKY MOUNT,PGM Rocky Mount - US,Yes,4/11/2017,,No,SOP,PGM-RMT-QACQ_S6120_0305,8/8/2019 11:54 AM America/New York,8,Training Program for the Chemical Quality (CQ) Laboratory,Required,Days,90,Event,Days,730,Event,8/27/2019,,, ,,,,,,, ,,,,,,, ,,,,,,,,1
PGM-RMT-QACQ_GEN_REQ,PGM-RMT-QACQ_GEN_REQ: CQ Department Requirements,PGM-ROCKY MOUNT,PGM Rocky Mount - US,Yes,4/11/2017,,No,SOP,PGM-RMT-QACQ_S6120_0307,11/15/2018 04:53 PM America/New York,3,CQ Chain of Custody: Sample and Document Flow,Required,Days,90,Event,Days,365,Event,12/5/2018,,, ,,,,,,, ,,,,,,, ,,,,,,,,1
PGM-RMT-QACQ_GEN_REQ,PGM-RMT-QACQ_GEN_REQ: CQ Department Requirements,PGM-ROCKY MOUNT,PGM Rocky Mount - US,Yes,4/11/2017,,No,SOP,PGM-RMT-QACQ_S6120_0322,1/7/2019 12:11 PM America/New York,3,"Preparation, Approval and Implementation of Analyst Notes",Required,Days,90,Event,Days,730,Event,1/30/2019,,, ,,,,,,, ,,,,,,, ,,,,,,,,1
PGM-RMT-QACQ_GEN_REQ,PGM-RMT-QACQ_GEN_REQ: CQ Department Requirements,PGM-ROCKY MOUNT,PGM Rocky Mount - US,Yes,4/11/2017,,No,COURSE,PGM-RMT-QACQ_S6120_0328,9/13/2019 10:51 AM America/New York,7,"Analytical Laboratory Data Investigation of OOS, OOL or Questionable Results",Required,Days,90,Event,Days,730,Event,9/29/2019,,, ,,,,,,, ,,,,,,, ,,,,,,,,1
PGM-RMT-QACQ_GEN_REQ,PGM-RMT-QACQ_GEN_REQ: CQ Department Requirements,PGM-ROCKY MOUNT,PGM Rocky Mount - US,Yes,4/11/2017,,No,COURSE,PGM-RMT-QACQ_S6120_0334,9/19/2018 03:55 PM America/New York,3,"Sourcing, Certification, and Distribution of Non-Compendial Reference Standards",Required,Days,90,Event,Days,730,Event,11/2/2018,,, ,,,,,,, ,,,,,,, ,,,,,,,,1
PGM-RMT-QACQ_GEN_REQ,PGM-RMT-QACQ_GEN_REQ: CQ Department Requirements,PGM-ROCKY MOUNT,PGM Rocky Mount - US,Yes,4/11/2017,,No,SOP,PGM-RMT-QACQ_SMP_SOL_RET,11/16/2018 12:00 PM America/New York,2,Samples / Solutions Retention in the CQ Laboratory,Required,Days,90,Event,Days,365,Event,11/28/2018,,, ,,,,,,, ,,,,,,, ,,,,,,,,1
PGM-RMT-QACQ_GEN_REQ,PGM-RMT-QACQ_GEN_REQ: CQ Department Requirements,PGM-ROCKY MOUNT,PGM Rocky Mount - US,Yes,4/11/2017,,No,COURSE,PGM-RMT-QADC_S7700_2007,8/8/2019 12:12 PM America/New York,3,"Logbook Issuance, Storage and Retrieval for the Rocky Mount Site",Required,Days,90,Event,Days,730,Event,8/27/2019,,, ,,,,,,, ,,,,,,, ,,,,,,,,1
PGM-RMT-QACQ_GEN_REQ,PGM-RMT-QACQ_GEN_REQ: CQ Department Requirements,PGM-ROCKY MOUNT,PGM Rocky Mount - US,Yes,4/11/2017,,No,COURSE,PGM-RMT-QATS_S6133_0015,8/30/2019 10:58 AM America/New York,2,Dress Code for Laboratory Areas,Required,Days,90,Event,Days,730,Event,9/17/2019,,, ,,,,,,, ,,,,,,, ,,,,,,,,1
PGM-RMT-QACQ_GEN_REQ,PGM-RMT-QACQ_GEN_REQ: CQ Department Requirements,PGM-ROCKY MOUNT,PGM Rocky Mount - US,Yes,4/11/2017,,No,COURSE,PGM-RMT-QATS_S6133_0015,9/30/2019 03:54 PM America/New York,3,Dress Code for Laboratory Areas,Required,Days,90,Event,Days,730,Event,10/14/2019,,, ,,,,,,, ,,,,,,, ,,,,,,,,1
PGM-RMT-QACQ_GEN_REQ,PGM-RMT-QACQ_GEN_REQ: CQ Department Requirements,PGM-ROCKY MOUNT,PGM Rocky Mount - US,Yes,4/11/2017,,No,COURSE,PGM-RMT-QATS_S6133_0024,2/13/2019 06:22 PM America/New York,4,Chemical Hygiene Plan for Rocky Mount Quality Laboratories,Required,Days,90,Event,Days,730,Event,3/6/2019,,, ,,,,,,, ,,,,,,, ,,,,,,,,1
PGM-RMT-QACQ_GEN_REQ,PGM-RMT-QACQ_GEN_REQ: CQ Department Requirements,PGM-ROCKY MOUNT,PGM Rocky Mount - US,Yes,4/11/2017,,No,COURSE,PGM-RMT-QA_S6100_0007,4/4/2018 10:28 AM America/New York,2,Technical Service Request System,Required,Days,90,Event,Days,730,Event,4/25/2018,,, ,,,,,,, ,,,,,,, ,,,,,,,,1
PGM-RMT-QACQ_GEN_REQ,PGM-RMT-QACQ_GEN_REQ: CQ Department Requirements,PGM-ROCKY MOUNT,PGM Rocky Mount - US,Yes,4/11/2017,,No,SOP,PGM-RMT-QA_S6100_0049,3/9/2018 08:08 AM America/New York,2,Quality Stockroom (Q.S.),Required,Days,90,Event,Days,730,Event,3/28/2018,,, ,,,,,,, ,,,,,,, ,,,,,,,,1
PGM-RMT-QACQ_GEN_REQ,PGM-RMT-QACQ_GEN_REQ: CQ Department Requirements,PGM-ROCKY MOUNT,PGM Rocky Mount - US,Yes,4/11/2017,,No,COURSE,PGM-RMT-SF_S8000_0002,6/6/2019 09:30 AM America/New York,4,Active Pharmaceutical Ingredient (API) Raw Material and API Solutions Safe Handling Program,Required,Days,90,Event,Days,365,Event,6/25/2019,,, ,,,,,,, ,,,,,,, ,,,,,,,,1
PGM-RMT-QACQ_GEN_REQ,PGM-RMT-QACQ_GEN_REQ: CQ Department Requirements,PGM-ROCKY MOUNT,PGM Rocky Mount - US,Yes,4/11/2017,,No,SOP,PGM-RMT-SF_S8000_0013,3/25/2019 08:02 AM America/New York,3,Personal Protection Equipment,Required,Days,90,Event,Days,730,Event,4/16/2019,,, ,,,,,,, ,,,,,,, ,,,,,,,,1
PGM-RMT-QACQ_GEN_REQ,PGM-RMT-QACQ_GEN_REQ: CQ Department Requirements,PGM-ROCKY MOUNT,PGM Rocky Mount - US,Yes,4/11/2017,,No,COURSE,PGM-RMT-SF_S8000_0015,3/25/2019 04:28 PM America/New York,3,Respiratory Protection,Required,Days,90,Event,Days,730,Event,4/16/2019,,, ,,,,,,, ,,,,,,, ,,,,,,,,1
PGM-RMT-QACQ_GEN_REQ,PGM-RMT-QACQ_GEN_REQ: CQ Department Requirements,PGM-ROCKY MOUNT,PGM Rocky Mount - US,Yes,4/11/2017,,No,SOP,PGM-RMT-QACQ_S6120_0304,8/8/2019 11:20 AM America/New York,6,Logbook Procedures in the Chemical Quality CQ Laboratories,Required,Days,90,Event,Days,730,Event,8/27/2019,,, ,,,,,,, ,,,,,,, ,,,,,,,,1
PGM-RMT-QACQ_GEN_REQ,PGM-RMT-QACQ_GEN_REQ: CQ Department Requirements,PGM-ROCKY MOUNT,PGM Rocky Mount - US,Yes,4/11/2017,,No,SOP,PGM-RMT-QACQ_S6120_0303,6/20/2017 12:00 PM America/New York,2,Rounding and Reporting of Numerical Results in the Chemical Quality (CQ) Laboratories,Required,Days,90,Event,Days,730,Event,7/10/2017,,, ,,,,,,, ,,,,,,, ,,,,,,,,1
PGM-RMT-QACQ_GEN_REQ,PGM-RMT-QACQ_GEN_REQ: CQ Department Requirements,PGM-ROCKY MOUNT,PGM Rocky Mount - US,Yes,4/11/2017,,No,COURSE,PGM-RMT-QACQ_S6120_0302,8/8/2019 04:23 PM America/New York,6,"Labeling and Expiration Dating of Laboratory Reagents, Solutions and Standard Solutions",Required,Days,90,Event,Days,730,Event,8/27/2019,,, ,,,,,,, ,,,,,,, ,,,,,,,,1
PGM-RMT-QACQ_GEN_REQ,PGM-RMT-QACQ_GEN_REQ: CQ Department Requirements,PGM-ROCKY MOUNT,PGM Rocky Mount - US,Yes,4/11/2017,,No,COURSE,PGM-RMT-QACQ_S6120_0301,8/12/2019 10:59 AM America/New York,2,Housekeeping Requirements for the Chemical Quality (CQ) Laboratory,Required,Days,90,Event,Days,730,Event,8/27/2019,,, ,,,,,,, ,,,,,,, ,,,,,,,,1
PGM-RMT-QACQ_GEN_REQ,PGM-RMT-QACQ_GEN_REQ: CQ Department Requirements,PGM-ROCKY MOUNT,PGM Rocky Mount - US,Yes,4/11/2017,,No,SOP,PGM-RMT-QACQ_S6120_0300,8/8/2019 12:03 PM America/New York,9,Use of Laboratory Notebooks in the CQ Laboratory,Required,Days,90,Event,Days,730,Event,8/27/2019,,, ,,,,,,, ,,,,,,, ,,,,,,,,1
PGM-RMT-QACQ_GEN_REQ,PGM-RMT-QACQ_GEN_REQ: CQ Department Requirements,PGM-ROCKY MOUNT,PGM Rocky Mount - US,Yes,4/11/2017,,No,SOP,PGM-RMT-QACQ_S6120_0215,2/9/2018 08:00 AM America/New York,2,Procedure for Testing in Process and Composite Benzyl Alcohol Samples,Required,Days,90,Event,Days,730,Event,2/28/2018,,, ,,,,,,, ,,,,,,, ,,,,,,,,1
PGM-RMT-QACQ_GEN_REQ,PGM-RMT-QACQ_GEN_REQ: CQ Department Requirements,PGM-ROCKY MOUNT,PGM Rocky Mount - US,Yes,4/11/2017,,No,COURSE,PGM-RMT-QACQ_S6120_0200,1/7/2019 12:19 PM America/New York,2,Procedures for In Process Product Testing,Required,Days,90,Event,Days,730,Event,1/30/2019,,, ,,,,,,, ,,,,,,, ,,,,,,,,1
PGM-RMT-QACQ_GEN_REQ,PGM-RMT-QACQ_GEN_REQ: CQ Department Requirements,PGM-ROCKY MOUNT,PGM Rocky Mount - US,Yes,4/11/2017,,No,COURSE,PGM-RMT-QACQ_S6120_0190,4/2/2019 03:48 PM America/New York,6,"Terms, Clarifications and General Lab Practices and Techniques for the CQ Laboratories",Required,Days,90,Event,Days,730,Event,4/23/2019,,, ,,,,,,, ,,,,,,, ,,,,,,,,1
PGM-RMT-QACQ_GEN_REQ,PGM-RMT-QACQ_GEN_REQ: CQ Department Requirements,PGM-ROCKY MOUNT,PGM Rocky Mount - US,Yes,4/11/2017,,No,SOP,PGM-RMT-QACQ_S6120_0188,3/21/2018 05:29 PM America/New York,2,Laboratory Information Management System for Chemical Quality,Required,Days,90,Event,Days,730,Event,4/11/2018,,, ,,,,,,, ,,,,,,, ,,,,,,,,1
PGM-RMT-QACQ_GEN_REQ,PGM-RMT-QACQ_GEN_REQ: CQ Department Requirements,PGM-ROCKY MOUNT,PGM Rocky Mount - US,Yes,4/11/2017,,No,COURSE,PGM-RMT-QACQ_S6120_0174,8/8/2019 03:04 PM America/New York,7,"Circular Chart Recorders, Refrigerators, Freezers, Ovens and Water Baths",Required,Days,90,Event,Days,730,Event,8/27/2019,,, ,,,,,,, ,,,,,,, ,,,,,,,,1
PGM-RMT-QACQ_GEN_REQ,PGM-RMT-QACQ_GEN_REQ: CQ Department Requirements,PGM-ROCKY MOUNT,PGM Rocky Mount - US,Yes,4/11/2017,,No,SOP,PGM-RMT-QACQ_S6120_0155,7/10/2019 10:54 AM America/New York,3,Preparation of Chemical Testing Form for Solution Testing Area,Required,Days,90,Event,Days,730,Event,7/30/2019,,, ,,,,,,, ,,,,,,, ,,,,,,,,1
PGM-RMT-QACQ_GEN_REQ,PGM-RMT-QACQ_GEN_REQ: CQ Department Requirements,PGM-ROCKY MOUNT,PGM Rocky Mount - US,Yes,4/11/2017,,No,COURSE,PGM-RMT-QACQ_S6120_0147,4/9/2019 03:22 PM America/New York,2,Disposal of Broken Laboratory Glassware and Sample Containers,Required,Days,90,Event,Days,730,Event,4/30/2019,,, ,,,,,,, ,,,,,,, ,,,,,,,,1
PGM-RMT-QACQ_GEN_REQ,PGM-RMT-QACQ_GEN_REQ: CQ Department Requirements,PGM-ROCKY MOUNT,PGM Rocky Mount - US,Yes,4/11/2017,,No,SOP,PGM-RMT-QACQ_S6120_0144,1/2/2019 09:07 AM America/New York,2,"Laboratory Glassware Usage, Manual Cleaning and Storage",Required,Days,90,Event,Days,730,Event,1/23/2019,,, ,,,,,,, ,,,,,,, ,,,,,,,,1
PGM-RMT-QACQ_GEN_REQ,PGM-RMT-QACQ_GEN_REQ: CQ Department Requirements,PGM-ROCKY MOUNT,PGM Rocky Mount - US,Yes,4/11/2017,,No,SOP,PGM-RMT-QACQ_S6120_0090,1/7/2019 12:16 PM America/New York,2,"Chemical Testing of Rinse Water, Filter Rinse Water, Drug Addition Rinse Water, and Solution Mixing",Required,Days,90,Event,Days,730,Event,1/30/2019,,, ,,,,,,, ,,,,,,, ,,,,,,,,1
PGM-RMT-QACQ_GEN_REQ,PGM-RMT-QACQ_GEN_REQ: CQ Department Requirements,PGM-ROCKY MOUNT,PGM Rocky Mount - US,Yes,4/11/2017,,No,SOP,PGM-RMT-QACQ_S6120_0030,3/22/2019 09:24 AM America/New York,2,Procedure for Determining pH Adjustment Quantities for Parenteral Solutions,Required,Days,90,Event,Days,730,Event,4/9/2019,,, ,,,,,,, ,,,,,,, ,,,,,,,,1
PGM-RMT-QACQ_GEN_REQ,PGM-RMT-QACQ_GEN_REQ: CQ Department Requirements,PGM-ROCKY MOUNT,PGM Rocky Mount - US,Yes,4/11/2017,,No,COURSE,PGM-RMT-SOP-87181,7/16/2019 02:17 AM America/New York,2,Chemistry Laboratory Potent Drug Isolators Operating and Cleaning Procedure,Required,Days,90,Event,Days,730,Event,4/24/2019,,, ,,,,,,, ,,,,,,, ,,,,,,,,1
PGM-RMT-QACQ_GEN_REQ,PGM-RMT-QACQ_GEN_REQ: CQ Department Requirements,PGM-ROCKY MOUNT,PGM Rocky Mount - US,Yes,4/11/2017,,No,COURSE,PGM-RMT-SOP-87185,8/8/2019 11:27 AM America/New York,5,Reference Standard Program,Required,Days,90,Event,Days,730,Event,8/28/2019,,, ,,,,,,, ,,,,,,, ,,,,,,,,1
PGM-RMT-QACQ_GEN_REQ,PGM-RMT-QACQ_GEN_REQ: CQ Department Requirements,PGM-ROCKY MOUNT,PGM Rocky Mount - US,Yes,4/11/2017,,No,COURSE,PGM-RMT-EN-SOP-105821,8/6/2019 03:50 PM America/New York,4,Rocky Mount CMMS Preventative Maintenance Program,Required,Days,90,Event,Days,730,Event,8/26/2019,,, ,,,,,,, ,,,,,,, ,,,,,,,,1
PGM-RMT-QACQ_GEN_REQ,PGM-RMT-QACQ_GEN_REQ: CQ Department Requirements,PGM-ROCKY MOUNT,PGM Rocky Mount - US,Yes,4/11/2017,,No,COURSE,PGM-RMT-SF_EHS_G31,7/27/2019 12:00 AM America/New York,1,Utility Vehicles Guideline,Required,Days,90,Event,Days,730,Event,8/6/2019,,, ,,,,,,, ,,,,,,, ,,,,,,,,1
PGM-RMT-QACQ_GEN_REQ,PGM-RMT-QACQ_GEN_REQ: CQ Department Requirements,PGM-ROCKY MOUNT,PGM Rocky Mount - US,Yes,4/11/2017,,No,COURSE,PGM-RMT-EN_S7100_0255,5/24/2019 10:41 AM America/New York,4,Rocky Mount Engineering Preventative Maintenance PM Program,Required,Days,90,Event,Days,730,Event,6/11/2019,,, ,,,,,,, ,,,,,,, ,,,,,,,,1
PGM-RMT-QACQ_GEN_REQ,PGM-RMT-QACQ_GEN_REQ: CQ Department Requirements,PGM-ROCKY MOUNT,PGM Rocky Mount - US,Yes,4/11/2017,,No,COURSE,PGM-RMT-QACQ_PR2566798,7/15/2019 12:00 PM America/New York,1,Awareness Training- Use of Incorrect Reference Standard,Required,Days,30,Event,,,,7/16/2019,,, ,,,,,,, ,,,,,,, ,,,,,,,,1
PGM-RMT-QACQ_GEN_REQ,PGM-RMT-QACQ_GEN_REQ: CQ Department Requirements,PGM-ROCKY MOUNT,PGM Rocky Mount - US,Yes,4/11/2017,,No,COURSE,PGM-RMT-QACQ_S6120_0219,8/8/2019 11:29 AM America/New York,9,Laboratory Testing and Data Review,Required,Days,90,Event,Days,730,Event,8/27/2019,,, ,,,,,,, ,,,,,,, ,,,,,,,,1
PGM-RMT-QACQ_GEN_REQ,PGM-RMT-QACQ_GEN_REQ: CQ Department Requirements,PGM-ROCKY MOUNT,PGM Rocky Mount - US,Yes,4/11/2017,,No,COURSE,PGM-RMT-SF_S8000_0031,1/28/2019 04:29 PM America/New York,2,Toxic and Asphyxiating Gas Safety,Required,Days,90,Event,Days,365,Event,2/20/2019,,, ,,,,,,, ,,,,,,, ,,,,,,,,1
PGM-RMT-QACQ_GEN_REQ,PGM-RMT-QACQ_GEN_REQ: CQ Department Requirements,PGM-ROCKY MOUNT,PGM Rocky Mount - US,Yes,4/11/2017,,No,COURSE,PGM-RMT-QACQ-SOP-100284,2/23/2018 07:54 AM America/New York,1,Hamilton SafeAire II Fume Hoods and Perchloric Acid Fume Hood,Required,Days,90,Event,Days,730,Event,3/14/2018,,, ,,,,,,, ,,,,,,, ,,,,,,,,1
PGM-RMT-QACQ_GEN_REQ,PGM-RMT-QACQ_GEN_REQ: CQ Department Requirements,PGM-ROCKY MOUNT,PGM Rocky Mount - US,Yes,4/11/2017,,No,COURSE,PGM-RMT-QACQ-SOP-102260,8/16/2018 04:39 PM America/New York,2,gLIMS Training and Access for Rocky Mount,Required,Days,90,Event,Days,730,Event,8/24/2018,,, ,,,,,,, ,,,,,,, ,,,,,,,,1
PGM-RMT-QACQ_GEN_REQ,PGM-RMT-QACQ_GEN_REQ: CQ Department Requirements,PGM-ROCKY MOUNT,PGM Rocky Mount - US,Yes,4/11/2017,,No,COURSE,PGM-RMT-QACQ_SOP-88107,11/20/2017 12:38 PM America/New York,3,Laboratory Management,Required,Days,90,Event,Days,730,Event,12/13/2017,,, ,,,,,,, ,,,,,,, ,,,,,,,,1
PGM-RMT-QACQ_GEN_REQ,PGM-RMT-QACQ_GEN_REQ: CQ Department Requirements,PGM-ROCKY MOUNT,PGM Rocky Mount - US,Yes,4/11/2017,,No,COURSE,PGM-RMT-QACQ_SOP-99368,8/4/2017 03:56 PM America/New York,1,Sampling of Production Materials and Finished Goods,Required,Days,90,Event,Days,730,Event,8/18/2017,,, ,,,,,,, ,,,,,,, ,,,,,,,,1
PGM-RMT-QACQ_GEN_REQ,PGM-RMT-QACQ_GEN_REQ: CQ Department Requirements,PGM-ROCKY MOUNT,PGM Rocky Mount - US,Yes,4/11/2017,,No,COURSE,PGM-RMT-EN_S7100_0726,8/13/2018 04:54 PM America/New York,2,Waste Chemical Disposal System,Required,Days,90,Event,Days,730,Event,9/5/2018,,, ,,,,,,, ,,,,,,, ,,,,,,,,1
PGM-RMT-QACQ_GEN_SF_TRN,PGM-RMT-QACQ_GEN_SF_TRN: Non Analyst Safety Training,PGM-ROCKY MOUNT,PGM Rocky Mount - US,Yes,4/11/2017,,No,OJT,PGM-RMT-QACQ_NA_SAFE_TQ,3/5/2019 12:00 PM America/New York,3,Non Analyst CQ Safety Orientation,Required,Days,90,Event,,,,3/5/2019,,, ,,,,,,, ,,,,,,, ,,,,,,,,1
PGM-RMT-QACQ_GEN_SF_TRN,PGM-RMT-QACQ_GEN_SF_TRN: Non Analyst Safety Training,PGM-ROCKY MOUNT,PGM Rocky Mount - US,Yes,4/11/2017,,No,COURSE,PGM-RMT-QATS_S6133_0015,9/30/2019 03:54 PM America/New York,3,Dress Code for Laboratory Areas,Required,Days,90,Event,Days,730,Event,10/14/2019,,, ,,,,,,, ,,,,,,, ,,,,,,,,1
PGM-RMT-QACQ_GEN_SF_TRN,PGM-RMT-QACQ_GEN_SF_TRN: Non Analyst Safety Training,PGM-ROCKY MOUNT,PGM Rocky Mount - US,Yes,4/11/2017,,No,SOP,PGM-RMT-SF_S8000_0025,12/17/2018 08:21 AM America/New York,2,Ergonomic Program,Required,Days,90,Event,Days,730,Event,1/16/2019,,, ,,,,,,, ,,,,,,, ,,,,,,,,1
PGM-RMT-QACQ_GEN_SF_TRN,PGM-RMT-QACQ_GEN_SF_TRN: Non Analyst Safety Training,PGM-ROCKY MOUNT,PGM Rocky Mount - US,Yes,4/11/2017,,No,COURSE,PGM-RMT-SF_S8000_0010,12/14/2018 06:46 AM America/New York,2,Injury / Illness and Near Miss Investigation and Reporting,Required,Days,90,Event,Days,730,Event,1/9/2019,,, ,,,,,,, ,,,,,,, ,,,,,,,,1
PGM-RMT-QACQ_GEN_SF_TRN,PGM-RMT-QACQ_GEN_SF_TRN: Non Analyst Safety Training,PGM-ROCKY MOUNT,PGM Rocky Mount - US,Yes,4/11/2017,,No,SOP,PGM-RMT-SF_S8000_0013,3/25/2019 08:02 AM America/New York,3,Personal Protection Equipment,Required,Days,90,Event,Days,730,Event,4/16/2019,,, ,,,,,,, ,,,,,,, ,,,,,,,,1
PGM-RMT-QACQ_GEN_SF_TRN,PGM-RMT-QACQ_GEN_SF_TRN: Non Analyst Safety Training,PGM-ROCKY MOUNT,PGM Rocky Mount - US,Yes,4/11/2017,,No,COURSE,PGM-RMT-QACQ_S6120_0301,8/12/2019 10:59 AM America/New York,2,Housekeeping Requirements for the Chemical Quality (CQ) Laboratory,Required,Days,90,Event,Days,730,Event,8/27/2019,,, ,,,,,,, ,,,,,,, ,,,,,,,,1
PGM-RMT-QACQ_GEN_SF_TRN,PGM-RMT-QACQ_GEN_SF_TRN: Non Analyst Safety Training,PGM-ROCKY MOUNT,PGM Rocky Mount - US,Yes,4/11/2017,,No,COURSE,PGM-RMT-QATS_S6133_0015,8/30/2019 10:58 AM America/New York,2,Dress Code for Laboratory Areas,Required,Days,90,Event,Days,730,Event,9/17/2019,,, ,,,,,,, ,,,,,,, ,,,,,,,,1
PGM-RMT-QACQ_GEN_SF_TRN,PGM-RMT-QACQ_GEN_SF_TRN: Non Analyst Safety Training,PGM-ROCKY MOUNT,PGM Rocky Mount - US,Yes,4/11/2017,,No,COURSE,PGM-RMT-QATS_S6133_0024,2/13/2019 06:22 PM America/New York,4,Chemical Hygiene Plan for Rocky Mount Quality Laboratories,Required,Days,90,Event,Days,730,Event,3/6/2019,,, ,,,,,,, ,,,,,,, ,,,,,,,,1
PGM-RMT-QACQ_GEN_SF_TRN,PGM-RMT-QACQ_GEN_SF_TRN: Non Analyst Safety Training,PGM-ROCKY MOUNT,PGM Rocky Mount - US,Yes,4/11/2017,,No,COURSE,PGM-RMT-QACQ_GEN_SF_TRN,3/5/2019 12:00 PM America/New York,2,General Safety Training for the CQ Laboratories,Required,Days,90,Event,Days,365,Event,3/6/2019,,, ,,,,,,, ,,,,,,, ,,,,,,,,1
PGM-RMT-QACQ_IM_GEN_REQ,PGM-RMT-QACQ_IM_GEN_REQ: Chemistry Incoming Material Analyst General Requirement,PGM-ROCKY MOUNT,PGM Rocky Mount - US,Yes,4/11/2017,,No,COURSE,PGM-RMT-QACQ_S6120_0312,3/26/2018 02:17 PM America/New York,4,Laboratory Instrument User Requirements and Functionality,Required,Days,90,Event,Days,365,Event,4/13/2018,,, ,,,,,,, ,,,,,,, ,,,,,,,,1
PGM-RMT-QACQ_IM_GEN_REQ,PGM-RMT-QACQ_IM_GEN_REQ: Chemistry Incoming Material Analyst General Requirement,PGM-ROCKY MOUNT,PGM Rocky Mount - US,Yes,4/11/2017,,No,SOP,PGM-RMT-QA_S6100_0039,5/28/2019 10:59 AM America/New York,5,Rocky Mount Medical Parts Program,Required,Days,90,Event,Days,730,Event,6/18/2019,,, ,,,,,,, ,,,,,,, ,,,,,,,,1
PGM-RMT-QACQ_IM_GEN_REQ,PGM-RMT-QACQ_IM_GEN_REQ: Chemistry Incoming Material Analyst General Requirement,PGM-ROCKY MOUNT,PGM Rocky Mount - US,Yes,4/11/2017,,No,SOP,PGM-RMT-QATS_S6133_0009,11/20/2018 11:06 AM America/New York,2,"Labeling of Standard Solutions, Disinfectants, Suspensions and Other Substances",Required,Days,90,Event,Days,730,Event,12/12/2018,,, ,,,,,,, ,,,,,,, ,,,,,,,,1
